[2026-04-07 14:52:17 +0000] [7] [INFO] Starting gunicorn 23.0.0
[2026-04-07 14:52:17 +0000] [7] [INFO] Listening at: http://0.0.0.0:9000 (7)
[2026-04-07 14:52:17 +0000] [7] [INFO] Using worker: gthread
[2026-04-07 14:52:17 +0000] [8] [INFO] Booting worker with pid: 8
127.0.0.1 - - [07/Apr/2026:14:52:17 +0000] "GET /storage/v1/b?project=test-project HTTP/1.1" 200 38 "-" "curl/7.88.1"
127.0.0.1 - - [07/Apr/2026:14:52:17 +0000] "POST /storage/v1/b?project=test-project HTTP/1.1" 200 371 "-" "curl/7.88.1"
127.0.0.1 - - [07/Apr/2026:14:52:17 +0000] "GET /start_grpc?port=8888 HTTP/1.1" 200 4 "-" "curl/7.88.1"
2026-04-07 14:52:23.499959: GetObject(bucket: "projects/_/buckets/test-bucket" object: "gcsfuse-dp-object" read_mask { paths: "*" }) -> 
2026-04-07 14:52:26.592586: GetObject(bucket: "projects/_/buckets/test-bucket" object: "gcsfuse-dp-object" read_mask { paths: "*" }) -> 
2026-04-07 14:52:26.612638: GetObject(bucket: "projects/_/buckets/test-bucket" object: "test_file_for_grpc.txt/" read_mask { paths: "*" }) -> 
2026-04-07 14:52:26.612905: GetObject(bucket: "projects/_/buckets/test-bucket" object: "test_file_for_grpc.txt" read_mask { paths: "*" }) -> 
2026-04-07 14:52:26.618001: BidiWriteObject(in[8d595e205c4c4f0aa4cf0ce4e934be51]) -> out[74bb7b32719b4115a93d47aba7ddebea]
2026-04-07 14:52:26.618209: BidiWriteObject generator[8d595e205c4c4f0aa4cf0ce4e934be51] <- write_object_spec { resource { name: "test_file_for_grpc.txt" bucket: "projects/_/buckets/test-bucket" content_type: "text/plain; charset=utf-8" event_based_hold: false } if_generation_match: 0 appendable: false } checksummed_data { content: "This is..." 
2026-04-07 14:52:26.619000: BidiWriteObject generator[74bb7b32719b4115a93d47aba7ddebea] -> resource { name: "test_file_for_grpc.txt" bucket: "projects/_/buckets/test-bucket" generation: 1775573537659 metageneration: 1 size: 74 acl { role: "OWNER" id: "a373c84e56df3b72715c2ef2d19a3f6d" entity: "user-object.owners@example.com" entity_id: "eae1b38
2026-04-07 14:52:26.622561: ReadObject(bucket: "projects/_/buckets/test-bucket" object: "test_file_for_grpc.txt" generation: 1775573537659 read_limit: 74) -> out[154628a40628445f89b6c293c445042f]
2026-04-07 14:52:26.622753: ReadObject generator[154628a40628445f89b6c293c445042f] -> checksummed_data { content: "This is..." crc32c: 1492337994 } content_range { end: 74 complete_length: 74 } metadata { name: "test_file_for_grpc.txt" bucket: "projects/_/buckets/test-bucket" generation: 1775573537659 metageneration: 1 size: 74 acl { role:
2026-04-07 14:52:26.628890: ListObjects(parent: "projects/_/buckets/test-bucket" page_size: 5000 delimiter: "/" include_trailing_delimiter: true read_mask { paths: "name" paths: "size" paths: "generation" paths: "metageneration" paths: "update_time" paths: "metadata" paths: "content_encoding" p) -> objects { name: "test_file_for_grpc.txt" bucket: "projects/_/buckets/test-bucket" generation: 1775573537659 metageneration: 1 size: 74 acl { role: "OWNER" id: "a373c84e56df3b72715c2ef2d19a3f6d" entity: "user-object.owners@example.com" entity_id: "eae1b383
127.0.0.1 - - [07/Apr/2026:14:52:31 +0000] "GET /storage/v1/b/test-bucket/o/TestReadStall?alt=json&prettyPrint=false&projection=full HTTP/1.1" 404 172 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-fb6403fe)"
127.0.0.1 - - [07/Apr/2026:14:52:31 +0000] "GET /storage/v1/b/test-bucket/o/TestReadStall%2F?alt=json&prettyPrint=false&projection=full HTTP/1.1" 404 173 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-fb6403fe)"
127.0.0.1 - - [07/Apr/2026:14:52:31 +0000] "POST /upload/storage/v1/b/test-bucket/o?alt=json&ifGenerationMatch=0&name=TestReadStall%2F&prettyPrint=false&projection=full&uploadType=multipart HTTP/1.1" 200 2100 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-fb6403fe)"
127.0.0.1 - - [07/Apr/2026:14:52:31 +0000] "GET /storage/v1/b/test-bucket/o/TestReadStall%2FTestReadFirstByteStallInducedShouldCompleteInLessThanStallTime%2F?alt=json&prettyPrint=false&projection=full HTTP/1.1" 404 236 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-fb6403fe)"
127.0.0.1 - - [07/Apr/2026:14:52:31 +0000] "GET /storage/v1/b/test-bucket/o/TestReadStall%2FTestReadFirstByteStallInducedShouldCompleteInLessThanStallTime?alt=json&prettyPrint=false&projection=full HTTP/1.1" 404 235 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-fb6403fe)"
